연도,전체_사고건수,전체_사망자수,전체_부상자수,음주운전_사고건수,음주운전_사망자수,음주운전_부상자수,뺑소니_사고건수,뺑소니_사고_전년대비_pct,뺑소니_사망자수,뺑소니_부상자수,도로_계_km,도로_계_포장률_pct,고속국도_km,고속국도_포장률_pct,일반국도_km,일반국도_포장률_pct,특별광역시도_km,특별광역시도_포장률_pct,지방도_km,지방도_포장률_pct,시도_km,시도_포장률_pct,군도_km,군도_포장률_pct
1980,,,,,,,,,,,46951.0,35.5,1225.0,100.0,8232.0,67.5,7939.0,63.4,11021.0,12.8,18535.0,15.3,,
1985,,,,,,,,,,,52264.0,50.8,1415.0,100.0,12241.0,74.1,10018.0,71.2,10167.0,29.9,18423.0,31.0,,
1990,,,,,,,,,,,56715.0,72.4,1551.0,100.0,12161.0,89.3,12298.0,83.0,10672.0,64.6,20033.0,57.2,,
1995,,,,,,,,,,,74237.0,80.2,1825.0,100.0,12053.0,99.6,14082.0,90.6,13854.0,76.2,32424.0,67.8,,
2000,,,,,,,,,,,88775.0,81.6,2131.0,100.0,12413.0,99.8,17839.0,94.4,17151.0,84.5,16554.0,88.7,22687.0,51.8
2001,,,,,,,,,,,91396.0,83.9,2637.0,100.0,14254.0,99.4,17810.0,99.5,15704.0,84.6,17534.0,92.5,23459.0,53.9
2002,,,,,,,,,,,96037.0,84.1,2778.0,100.0,14232.0,99.4,18224.0,99.5,17084.0,84.5,20017.0,91.2,23702.0,54.6
2003,,,,,,,,,,,97253.0,85.0,2778.0,100.0,14235.0,99.4,17130.0,99.7,17485.0,84.7,21683.0,94.9,23942.0,55.6
2004,,,,,,,,,,,100278.0,85.2,2923.0,100.0,14246.0,99.5,17371.0,99.2,17476.0,85.3,24540.0,92.0,23723.0,57.4
2005,,,,,,,,,,,102293.0,86.5,2968.0,100.0,14224.0,99.5,17506.0,99.4,17709.0,86.2,25820.0,94.4,24065.0,59.9
2006,213745.0,6327.0,340229.0,29990.0,920.0,54255.0,,,,,102061.0,87.2,3103.0,100.0,14225.0,99.7,17738.0,99.5,17677.0,86.5,25361.0,94.6,23958.0,61.8
2007,211662.0,6166.0,335906.0,28416.0,991.0,51370.0,12684.0,-12.4,340.0,20057.0,103340.0,87.9,3368.0,100.0,13832.0,99.6,18109.0,99.4,18175.0,87.3,25396.0,94.8,24460.0,64.1
2008,215822.0,5870.0,338962.0,26873.0,969.0,48497.0,11613.0,-8.4,297.0,18373.0,104236.0,88.2,3447.0,100.0,13905.0,99.6,18517.0,99.5,18193.0,87.7,26202.0,94.4,23972.0,64.9
2009,231990.0,5838.0,361871.0,28207.0,898.0,50797.0,12666.0,9.1,298.0,20275.0,104983.0,88.7,3776.0,100.0,13820.0,99.6,18749.0,99.5,18138.0,88.3,26820.0,93.4,23681.0,66.4
2010,226878.0,5505.0,352458.0,28641.0,781.0,51364.0,11845.0,-6.5,279.0,19016.0,105565.0,89.4,3859.0,100.0,13812.0,99.6,18878.0,99.5,18180.0,89.2,27005.0,94.7,23830.0,67.5
2011,221711.0,5229.0,341391.0,28461.0,733.0,51135.0,11409.0,-3.7,284.0,17951.0,105931.0,89.9,3913.0,100.0,13797.0,99.6,19073.0,99.5,18196.0,89.8,27086.0,94.8,23866.0,69.4
2012,223656.0,5392.0,344565.0,29093.0,815.0,52345.0,11452.0,0.4,234.0,18261.0,105703.0,91.0,4044.0,100.0,13766.0,99.6,19464.0,99.4,18162.0,90.5,27670.0,93.8,22597.0,72.9
2013,215354.0,5092.0,328711.0,26589.0,727.0,47711.0,9604.0,-16.1,219.0,15247.0,106414.0,91.1,4111.0,100.0,13843.0,99.6,19955.0,99.5,18082.0,90.9,28047.0,94.5,22375.0,71.9
