연도,교통범죄 발생건수,교통범죄 발생비,검거건수,검거인원,검거율,자동차 등록대수,CCTV 설치지점수,CCTV 카메라대수,구간단속 카메라수,교통범죄 발생건수(2015=100),자동차 등록대수(2015=100),CCTV 카메라대수(2015=100),구간단속 카메라수(2015=100),운전면허 소지자수
2007,749387,1542.0,724933,695408,0.9673679954416076,,482,1060,184,125.5959374188196,,5.209357184981325,38.333333333333336,24681440
2008,845003,1726.3,820248,793124,0.9707042460204284,,1275,3273,213,141.6210101145534,,16.085118930607432,44.375,25268379
2009,690111,1403.2,664920,647929,0.9634971765411652,,1979,4844,206,115.66138452900708,,23.805779437782583,42.91666666666666,25822149
2010,623053,1261.0,599969,605485,0.9629501824082382,,4196,11534,218,104.42258218598376,,56.68370355808925,45.41666666666666,26402364
2011,536167,1077.1,508485,521560,0.9483705636490124,,3747,8376,261,89.86064206883259,,41.16375073717319,54.37499999999999,27251153
2012,542784,1085.5,498253,512076,0.9179581564673978,,3444,6985,190,90.96963957999884,,34.32769805386279,39.58333333333333,28263317
2013,573453,1141.9,522952,536756,0.9119352414234472,,6340,15403,424,96.10970980365867,,75.69785728327109,88.33333333333333,28848040
2014,573493,1137.3,518897,533126,0.904800930438558,,6166,12212,505,96.11641373299923,,60.01572636131315,105.20833333333331,29544245
2015,596665,1157.9,535417,549374,0.8973494339369663,20989885.0,10253,20348,480,100.0,100.0,100.0,100.0,30293621
2016,600401,1161.4,539637,555352,0.8987943058056199,21803351.0,13735,26048,930,100.6261470004106,103.8755143251142,128.0125810890505,193.75,31190359
2017,501162,967.9,469162,484552,0.936148391138993,22528295.0,15837,29297,1158,83.99386590465336,107.32929218049551,143.97975230980933,241.25,31665393
2018,408371,788.0,397277,413147,0.9728335263767506,23202555.0,18916,36016,2078,68.44225821859837,110.5416013475062,177.00019657951643,432.9166666666667,32161081
2019,377354,727.8,367602,383717,0.9741568924670204,23677366.0,19351,36971,2589,63.243863809675446,112.80369568485013,181.69353253391,539.375,32649584
2020,348725,672.8,339921,356446,0.9747537457882286,24365979.0,22273,39702,5159,58.44569398238543,116.08438540754274,195.1149990171024,1074.7916666666667,33190565
2021,308634,597.7,300680,311232,0.9742283740611858,24911101.0,15988,29578,7262,51.72651320255085,118.68145537719715,145.36072341262042,1512.9166666666667,33729806
2022,241029,468.6,233413,240216,0.9684021424807804,25503078.0,20172,35314,5730,40.396034625795046,121.50175191526776,173.55022606644388,1193.75,34133763
2023,235636,459.1,228584,234138,0.9700724846797604,25949201.0,18415,30935,4219,39.4921773524507,123.62717089683912,152.02968350697856,878.9583333333333,34436680
